owner_energy_savings_share,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics
0.0,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False
0.0,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False
0.0,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False
0.0,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True
0.0,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True
0.0,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False
0.0,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False
0.0,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False
0.0,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False
0.0,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False
0.0,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True
0.0,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True
0.5,owner,Deep renovation + PV,False,True,-1172262.6946683808,-1165495.4986628368,-1694302.5135907049,-663361.9353907709,0.003,0.003,-1910490.8005545153,1180902.6114187706,1844841.0739827384,0.0,727442.5760290235,5.3733,0.003,0.0,0.0,0.0009,4,False
0.5,owner,Envelope + heat pump,False,True,-361067.12553434074,-364519.00578227616,-616455.8590189485,-101540.81889009287,0.042,0.042,-726066.0694499977,369707.0422847304,696016.9248164519,0.017,338816.12010782544,2.5403,0.042,0.03191190740000301,0.13548099421772383,0.0711875155662044,3,False
0.5,owner,Envelope retrofit,False,True,-113297.33621656036,-116058.88203739728,-240586.20375908984,18162.363605814826,0.1306,0.1306,-287407.02572837437,121937.25296694999,273163.2862196219,0.1136,83713.76431860725,1.5028,0.1306,0.6167906323621675,0.3839411179626027,0.38943611261366956,2,True
0.5,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8639.916750389626,59394.48181360234,0.8694,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True
0.5,tenant,Deep renovation + PV,False,True,486447.6932969824,449036.1084539788,214116.42181174937,814088.4810223925,0.9991,0.9991,150014.7325817848,26.351691080952047,0.0,0.9989,727442.5760290235,5.3733,0.9991,1.0,0.9490361084539788,0.9818926379588925,1,True
0.5,tenant,Envelope + heat pump,False,True,262531.7933451348,241199.6332454501,103891.8066579865,451892.6810207784,0.996,0.996,67154.71271947087,223942.2516429286,417734.9458190068,0.0,338816.12010782544,2.5403,0.996,1.0,0.7411996332454501,0.9082198716359076,2,False
0.5,tenant,Envelope retrofit,False,True,138735.40170600862,128141.05136519912,62403.02032500502,230440.63002977287,0.9994,0.9994,44551.20813479503,347738.64328205475,677038.6637848484,0.0005,83713.76431860725,1.5028,0.9994,1.0,0.6281410513651992,0.8696693679778196,3,True
0.5,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,486474.04498806334,944052.0056151212,0.0006,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False
0.5,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False
0.5,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False
0.5,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True
0.5,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True
1.0,owner,Deep renovation + PV,False,True,-337933.4587290358,-378499.064494002,-1029907.1360197884,417205.9602393536,0.2591,0.2591,-1281700.5948981028,549735.754587059,1218511.6189028935,0.049,727442.5760290235,5.3733,0.2591,0.0,0.12150093550599797,0.12025532742709928,4,False
1.0,owner,Envelope + heat pump,False,True,122843.83131047935,90992.77449843963,-253441.7764860704,546033.8733516603,0.6247,0.6247,-379458.4014150201,88958.46454754383,361417.48278124136,0.4215,338816.12010782544,2.5403,0.6247,0.4940554647799732,0.5909927744984397,0.5671768837474445,2,False
1.0,owner,Envelope retrofit,False,True,120314.84984645624,104412.12237079433,-65817.63167154793,330633.7897834888,0.7689,0.7689,-122806.62908889672,91487.44601156695,325608.5738889844,0.2984,83713.76431860725,1.5028,0.7689,0.8362578278814711,0.6044121223707943,0.7349044825882929,1,True
1.0,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,211802.29585802316,719608.460887373,0.2311,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,3,True
1.0,tenant,Deep renovation + PV,False,True,-347881.5426423626,-343802.9613936987,-415932.91781384946,-285975.54963159625,0.0,0.0,-442917.5899836049,347881.5426423626,436044.1653661663,0.0,727442.5760290235,5.3733,0.0,0.40944321335519346,0.1561970386063013,0.19797408818652315,4,False
1.0,tenant,Envelope + heat pump,False,True,-221379.1634996853,-218783.7027050809,-264684.5840633587,-181984.44067465223,0.0,0.0,-281856.64817138494,221379.1634996853,277482.6506875603,0.0,338816.12010782544,2.5403,0.0,0.6241911357714868,0.2812162972949191,0.31689260157324206,3,False
1.0,tenant,Envelope retrofit,False,True,-94876.78435700799,-93764.44401646327,-113436.25031286804,-77993.33171770812,0.0,0.0,-120795.70635916498,94876.78435700799,118921.13600895443,0.0,83713.76431860725,1.5028,0.0,0.8389390581877799,0.4062355559835368,0.43581111495996083,2,False
1.0,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True
