stress_case,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,performance_basis,performance_pass_probability,performance_threshold_applicable,performance_threshold_pass,financial_threshold_pass,acceptable_under_proxy_thresholds
Baseline proxy,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Baseline proxy,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,True,True
Baseline proxy,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Baseline proxy,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Baseline proxy,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Moderate stress proxy,owner,Deep renovation + PV,False,True,-2038673.1824121128,-2011918.077942256,-2492348.8879348547,-1622223.1073348452,0.0,0.0,-2710265.3155511944,2038673.1824121128,2653419.035673514,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,owner,Envelope + heat pump,False,True,-864466.2433929079,-850080.0395902803,-1070097.9584257654,-674807.9062125642,0.0,0.0,-1175878.8987580927,864466.2433929079,1144706.5594685476,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,owner,Envelope retrofit,False,True,-356083.8007296972,-350608.3668943548,-454752.6649579314,-264163.064940864,0.0,0.0,-500397.42302139616,356083.8007296972,489238.2780218337,0.0,83713.76431860725,1.5028,0.0,0.3328034359714718,0.14939163310564518,0.16876827417699092,2,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Moderate stress proxy,tenant,Deep renovation + PV,False,True,1158082.728228155,1086201.3892528752,660440.519273667,1756967.9515198937,1.0,1.0,547466.9487834659,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,True,False
Moderate stress proxy,tenant,Envelope + heat pump,False,True,652080.1136052149,610039.6285327054,364077.5400220785,997905.7916260551,1.0,1.0,298502.97637819947,506002.6146229401,862613.5513435703,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,tenant,Envelope retrofit,False,True,326793.21148673695,306794.8378963033,187177.89353137516,494638.9273338767,1.0,1.0,155738.19156942796,831289.516741418,1440613.3719016307,0.0,83713.76431860725,1.5028,1.0,1.0,0.8067948378963032,0.9323781932637061,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1158082.728228155,2004606.0596663216,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Moderate stress proxy,combined_private,Deep renovation + PV,False,True,-880590.4541839577,-910776.7267191422,-1531561.914430208,-200059.2642135408,0.0574,0.0574,-1775481.6739778733,936861.2284154259,1711850.4196757877,0.0075,727442.5760290235,5.3733,0.0574,0.0,0.0,0.01722,4,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,combined_private,Envelope + heat pump,False,True,-212386.12978769303,-236526.1119360919,-553946.4571111957,165047.18549551052,0.2158,0.2158,-678333.5214821687,268656.9040191612,646662.4129239069,0.1081,338816.12010782544,2.5403,0.2158,0.09555530469044174,0.2634738880639081,0.19040021746402241,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,combined_private,Envelope retrofit,False,True,-29290.58924296031,-41294.62131777799,-198921.51390583493,157919.41034481194,0.3778,0.3778,-253514.0455586888,85561.36347442845,251367.03954392197,0.2622,83713.76431860725,1.5028,0.3778,0.6619812725884149,0.458705378682222,0.5055803279447229,2,True,Illustrative retained annual savings proxy; not indoor comfort,0.8849,True,False,False,False
Moderate stress proxy,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56270.77423146814,305269.03860819753,0.6222,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Severe stress proxy,owner,Deep renovation + PV,False,True,-2095772.9325355021,-2067838.9644881878,-2552225.617959434,-1677012.0287238013,0.0,0.0,-2770810.537430939,2095772.9325355021,2715349.379243803,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,owner,Envelope + heat pump,False,True,-899683.7331914013,-884203.8740132253,-1107018.5664538387,-710620.1843678391,0.0,0.0,-1212662.4489924596,899683.7331914013,1181341.75400869,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,owner,Envelope retrofit,False,True,-372837.842543814,-367115.94190357823,-471458.7825818912,-280784.8561718783,0.0,0.0,-517623.9104099715,372837.842543814,505855.7454680136,0.0,83713.76431860725,1.5028,0.0,0.309834786120038,0.13288405809642176,0.1549515954757609,2,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Severe stress proxy,tenant,Deep renovation + PV,False,True,857724.2032899909,799846.3352069922,461769.06963167933,1334859.082014149,1.0,1.0,370651.02745597647,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,True,False
Severe stress proxy,tenant,Envelope + heat pump,False,True,477872.1691410797,444568.5769721613,248615.6402727095,753479.3766259036,1.0,1.0,195686.02543195093,379852.03414891113,664036.4810472577,0.0,338816.12010782544,2.5403,1.0,1.0,0.9445685769721613,0.9805990019402564,2,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
