sample_size,seed,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,positive_frequency_wilson95_low,positive_frequency_wilson95_high,comparison_sample_size,is_largest_sample_reference,abs_difference_vs_largest_mean_net_benefit_eur,abs_difference_vs_largest_probability_positive,abs_difference_vs_largest_p10_net_benefit_eur,abs_difference_vs_largest_worst_decile_mean_eur,abs_difference_vs_largest_p95_regret_eur,within_diagnostic_tolerances,metrics_evaluated
1000,42,owner,Deep renovation + PV,False,True,-1993263.8349251305,-1944461.7902910095,-2462452.354577941,-1578707.540963565,0.0,0.0,-2666549.365473896,1993263.8349251305,2603072.216888458,0.0,725910.8538424349,5.387,0.0,0.0,0.0,0.0,3,False,2.168404344971009e-19,0.0038267584855551234,25000,False,13556.783408318646,0.0,6278.454048848245,7039.546048738528,783.4879560647532,False,5
1000,42,owner,Envelope + heat pump,False,True,-839371.3079553948,-813827.908546706,-1057365.8165367562,-654171.8337281782,0.0,0.0,-1160246.28945064,839371.3079553948,1128851.178455632,0.0,338855.05256770895,2.557,0.0,0.0,0.0,0.0,3,False,2.168404344971009e-19,0.0038267584855551234,25000,False,5371.175547832041,0.0,10165.004626362585,14218.668296545744,9536.274273882387,True,5
1000,42,owner,Envelope retrofit,False,True,-344457.01598570595,-334621.3507825283,-448848.52984031726,-250817.37330649587,0.0,0.0,-495557.9166074514,344457.01598570595,482926.4471810505,0.0,84066.74849716948,1.516,0.0,0.3392561111900648,0.16537864921747172,0.1766221661426378,2,False,2.168404344971009e-19,0.0038267584855551234,25000,False,2655.472579626774,0.0,3077.2108132689027,7246.461004490615,5625.228966497234,True,5
1000,42,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,2.168404344971009e-19,0.0038267584855551234,25000,False,0.0,0.0,0.0,0.0,0.0,True,5
1000,42,tenant,Deep renovation + PV,False,True,1327714.5144907497,1260806.4352565098,782242.8674700997,2001923.3086379024,1.0,1.0,651889.324524572,0.0,0.0,1.0,725910.8538424349,5.387,1.0,1.0,1.0,0.9999999999999999,1,True,0.996173241514445,1.0,25000,False,5871.859462439781,0.0,12856.094752904144,6382.5075981140835,0.0,True,5
1000,42,tenant,Envelope + heat pump,False,True,750432.9573555795,711558.0923853322,435424.8247930065,1140440.1699422675,1.0,1.0,359055.3450177744,577281.5571351702,960815.5358726067,0.0,338855.05256770895,2.557,1.0,1.0,1.0,0.9999999999999999,1,False,0.996173241514445,1.0,25000,False,3455.8138714126544,0.0,8271.142976887175,3616.903006883047,17096.01864964317,True,5
1000,42,tenant,Envelope retrofit,False,True,374294.4461282558,355695.2390740707,221557.26333536065,563181.3049241834,1.0,1.0,184976.7312824638,953420.068362494,1612698.4440144931,0.0,84066.74849716948,1.516,1.0,1.0,0.8556952390740707,0.9494933336759246,3,False,0.996173241514445,1.0,25000,False,1637.6515677802963,0.0,3648.8857477512793,1795.035906471836,25853.0368127916,True,5
1000,42,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1327714.5144907497,2243407.626540644,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,2.168404344971009e-19,0.0038267584855551234,25000,False,0.0,0.0,0.0,0.0,35749.64798104111,False,5
1000,42,combined_private,Deep renovation + PV,False,True,-665549.320434381,-703914.1348879221,-1374339.1217955481,102429.04952985488,0.12,0.12,-1632761.07360046,769410.4727567157,1588757.2113732735,0.016,725910.8538424349,5.387,0.12,0.0,0.0,0.036,4,False,0.10129926060130913,0.14160907584771276,25000,False,7684.923945878516,0.0012800000000000034,1041.7513304620516,19139.19915769645,29750.2034654764,True,5
1000,42,combined_private,Envelope + heat pump,False,True,-88938.35059981552,-111852.45417165551,-481718.59391583863,337888.4778940423,0.363,0.363,-601818.3109019086,192799.5029221503,574441.1071198035,0.198,338855.05256770895,2.557,0.363,0.19757558546412193,0.3881475458283445,0.3139030959523632,3,False,0.3337729626449257,0.39327556918011636,25000,False,1915.361676419183,0.014639999999999986,13221.044016946806,12698.691308711539,11049.35996614478,False,5
1000,42,combined_private,Envelope retrofit,False,True,29837.430142549754,19326.446467201313,-158492.96397763395,238129.72455562034,0.557,0.557,-219937.29942545126,74023.72217978502,247145.29080688002,0.343,84066.74849716948,1.516,0.557,0.7067502674327316,0.5193264464672014,0.5962268498649765,1,True,0.5260523439907523,0.5875114055418946,25000,False,1017.8210118464303,0.022840000000000082,127.51944238026044,6077.223627854983,851.7227276210615,False,5
