sample_size,perspective,scenario,independent_seeds,first_preference_rank_count,preference_rank_min,preference_rank_max,mean_net_benefit_eur_mean,mean_net_benefit_eur_min,mean_net_benefit_eur_max,mean_net_benefit_eur_std,probability_positive_mean,probability_positive_min,probability_positive_max,probability_positive_std,p10_net_benefit_eur_mean,p10_net_benefit_eur_min,p10_net_benefit_eur_max,p10_net_benefit_eur_std,worst_decile_mean_eur_mean,worst_decile_mean_eur_min,worst_decile_mean_eur_max,worst_decile_mean_eur_std,p95_regret_eur_mean,p95_regret_eur_min,p95_regret_eur_max,p95_regret_eur_std
1000,combined_private,Deep renovation + PV,5,0,4,4,-667936.9017235879,-674577.4085912238,-664622.1129574517,4274.484127092588,0.1192,0.112,0.127,0.0053572380943915495,-1371218.7543482285,-1394881.5597158475,-1347572.855776166,19580.496521981757,-1616486.3073449512,-1638918.3203235161,-1580447.2413242015,23461.564908411976,1553867.103660008,1505959.8499359712,1588757.2113732735,32979.80253630888
1000,combined_private,Envelope + heat pump,5,0,3,3,-88093.53947615772,-94843.05173650454,-84868.9171862266,4068.8025126969947,0.3516,0.332,0.363,0.012601587201618681,-468651.4283507473,-482185.45006905,-452463.0635066279,14051.762489777213,-589224.5521494376,-601818.3109019086,-573268.3583416879,11609.140830614711,557593.7619761813,534468.4613894426,574441.1071198035,15502.615262300653
1000,combined_private,Envelope retrofit,5,5,1,1,30371.527642306442,26744.35985365562,32445.99159758508,2244.241285238757,0.5384,0.525,0.557,0.01272006289292629,-155698.785576538,-161116.28996838772,-151273.70897970235,4144.459931084262,-212362.75371077174,-219937.29942545126,-203127.63587404718,6601.606292862848,249910.46231084567,239895.09766678247,260296.10398028756,7412.370822369354
1000,combined_private,Reference: no additional intervention,5,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493381.7988329263,457252.0255137147,531107.0499928582,28606.790888308788
1000,owner,Deep renovation + PV,5,0,3,3,-2005540.9147082914,-2023060.9669069005,-1993263.8349251305,12492.27291635277,0.0,0.0,0.0,0.0,-2468262.679395949,-2498426.3242098754,-2434159.759262851,23208.16070047178,-2681230.376834343,-2709806.3156039054,-2649322.533589394,23542.906868562713,2618660.80388558,2588477.328290872,2654452.812334007,24926.569130894502
1000,owner,Envelope + heat pump,5,0,3,3,-844269.1440756533,-849995.4434186743,-839371.3079553948,4428.791189506777,0.0,0.0,0.0,0.0,-1049425.1105890085,-1057365.8165367562,-1034686.9514004964,8786.108923283218,-1160248.0997163695,-1171571.6577526443,-1148062.1512611206,8827.296389957175,1132077.2879860331,1113590.093627063,1155554.0774167145,15078.746802491756
1000,owner,Envelope retrofit,5,0,2,2,-346691.10862975026,-350346.6319028331,-344457.01598570595,2282.330679862775,0.0,0.0,0.0,0.0,-445884.3667687058,-448848.52984031726,-439495.18483769754,3807.079807817842,-490573.75994498545,-495557.9166074514,-480438.1570818012,6171.124981675785,478975.8736806043,469555.87722362607,483543.68793567416,5680.644911328468
1000,owner,Reference: no additional intervention,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,tenant,Deep renovation + PV,5,5,1,1,1337604.0129847038,1319200.7474459815,1353157.963427439,13857.233741520035,1.0,1.0,1.0,0.0,784784.6432325793,761356.7383513543,800450.2345005965,14626.265728085717,648369.0729723189,642452.0767999742,656420.9211832106,5664.89458714781,0.0,0.0,0.0,0.0
1000,tenant,Envelope + heat pump,5,5,1,1,756175.6045994957,745600.4061529365,765126.5262324475,7982.222058126842,1.0,1.0,1.0,0.0,436151.2590114302,422547.0086571472,443998.36723873584,8322.71407636485,357002.87777231704,353790.34229554393,361498.3883168458,3180.2193336208215,974233.8283644036,934708.819092932,1005060.0625752431,28308.35277857572
