perspective,scenario,parameter,parameter_p10,parameter_p90,central_net_benefit_eur,at_parameter_p10_eur,at_parameter_p90_eur,signed_change_eur,absolute_span_eur
owner,Deep renovation + PV,discount_rate,0.0276355519473292,0.04996265222544611,-1929702.2931104987,-2003747.4503642228,-1852615.840470112,151131.60989411082,151131.60989411082
tenant,Deep renovation + PV,discount_rate,0.0276355519473292,0.04996265222544611,1245090.5540218945,1440432.4650157585,1052898.0847528088,-387534.38026294974,387534.38026294974
combined_private,Deep renovation + PV,discount_rate,0.0276355519473292,0.04996265222544611,-684611.7390886042,-563314.985348464,-799717.755717303,-236402.77036883903,236402.77036883903
owner,Envelope + heat pump,discount_rate,0.0276355519473292,0.04996265222544611,-795830.2996757394,-806407.0367550573,-780800.8728412412,25606.163913816097,25606.163913816097
tenant,Envelope + heat pump,discount_rate,0.0276355519473292,0.04996265222544611,702740.7128515099,813146.8093409343,594130.394111417,-219016.41522951727,219016.41522951727
combined_private,Envelope + heat pump,discount_rate,0.0276355519473292,0.04996265222544611,-93089.58682422951,6739.772585876868,-186670.47872982413,-193410.251315701,193410.251315701
owner,Envelope retrofit,discount_rate,0.0276355519473292,0.04996265222544611,-305990.7127141748,-294321.0740464159,-315699.65916704666,-21378.58512063074,21378.58512063074
tenant,Envelope retrofit,discount_rate,0.0276355519473292,0.04996265222544611,351130.1046075742,406199.0283164392,296947.0114785558,-109252.01683788339,109252.01683788339
combined_private,Envelope retrofit,discount_rate,0.0276355519473292,0.04996265222544611,45139.39189339934,111877.95427002323,-18752.64768849081,-130630.60195851405,130630.60195851405
owner,Deep renovation + PV,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,-1929702.2931104987,-1929702.2931104987,-1929702.2931104987,0.0,0.0
tenant,Deep renovation + PV,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,1245090.5540218945,916906.6308989364,1657531.3175227677,740624.6866238313,740624.6866238313
combined_private,Deep renovation + PV,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,-684611.7390886042,-1012795.6622115623,-272170.97558773105,740624.6866238313,740624.6866238313
owner,Envelope + heat pump,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,-795830.2996757394,-795830.2996757394,-795830.2996757394,0.0,0.0
tenant,Envelope + heat pump,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,702740.7128515099,512394.0374401944,941956.3556820159,429562.3182418215,429562.3182418215
combined_private,Envelope + heat pump,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,-93089.58682422951,-283436.26223554503,146126.05600627657,429562.3182418216,429562.3182418216
owner,Envelope retrofit,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,-305990.7127141748,-305990.7127141748,-305990.7127141748,0.0,0.0
tenant,Envelope retrofit,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,351130.1046075742,259238.6061331461,466613.5183878184,207374.91225467232,207374.91225467232
combined_private,Envelope retrofit,energy_price_eur_kwh,0.22105463754965238,0.3508550534674983,45139.39189339934,-46752.10658102874,160622.80567364366,207374.91225467238,207374.91225467238
owner,Deep renovation + PV,energy_price_growth,0.0074806522335441605,0.04360458688983879,-1929702.2931104987,-1929702.2931104987,-1929702.2931104987,0.0,0.0
tenant,Deep renovation + PV,energy_price_growth,0.0074806522335441605,0.04360458688983879,1245090.5540218945,945348.8637265072,1739130.7332662204,793781.8695397133,793781.8695397133
